explained_target_node_idx,explained_target_txId,source_node_idx,target_node_idx,source_txId,target_txId,edge_importance
168766,71989358,168219,167405,71765818,42802969,0.0
168766,71989358,168219,173221,71765818,47512410,0.0
168766,71989358,168219,167234,71765818,99100804,0.0
168766,71989358,168219,167757,71765818,73290509,0.0
168766,71989358,168219,171914,71765818,72002292,0.0
168766,71989358,168219,169015,71765818,1007082,0.0
168766,71989358,168219,170512,71765818,73045455,0.0
169427,73001655,170663,172324,35534776,1813385,0.9248676896095276
169427,73001655,172324,169427,1813385,73001655,0.900526225566864
169427,73001655,172149,167299,73003348,73282397,0.0
169427,73001655,166967,167299,73003591,73282397,0.0
169427,73001655,172067,167299,73001046,73282397,0.0
169427,73001655,168084,167299,73001401,73282397,0.0
169427,73001655,168085,167299,73002476,73282397,0.0
169427,73001655,167298,167299,73000659,73282397,0.0
169427,73001655,168875,167299,73000832,73282397,0.0
169427,73001655,168768,167299,73003525,73282397,0.0
169427,73001655,167640,167299,73003883,73282397,0.0
169427,73001655,169369,167299,73002538,73282397,0.0
169427,73001655,172621,167299,73000840,73282397,0.0
169427,73001655,171885,167299,73000655,73282397,0.0
169427,73001655,168701,167299,73003343,73282397,0.0
169427,73001655,168076,167299,73000845,73282397,0.0
169427,73001655,169938,167299,73004404,73282397,0.0
169427,73001655,173184,167299,73003888,73282397,0.0
169427,73001655,169427,167299,73001655,73282397,0.0
169427,73001655,172658,167299,73001623,73282397,0.0
169652,72631257,168042,168043,72009234,72302236,0.9213354587554932
169652,72631257,168043,169652,72302236,72631257,0.9021481275558472
169750,71749633,168978,169750,29949646,71749633,0.9148277044296265
169750,71749633,172464,167964,71450194,72321311,0.0
169750,71749633,173985,167964,71748299,72321311,0.0
169750,71749633,168978,169196,29949646,864126,0.0
169750,71749633,171321,167964,71450704,72321311,0.0
169750,71749633,168978,168979,29949646,71870234,0.0
169750,71749633,168978,168528,29949646,72631638,0.0
169750,71749633,169750,167964,71749633,72321311,0.0
169750,71749633,168666,167102,71990384,73160850,0.0
169750,71749633,167963,167964,71451667,72321311,0.0
169750,71749633,169750,168666,71749633,71990384,0.0
169750,71749633,168978,167895,29949646,71461473,0.0
169750,71749633,173346,167964,71451628,72321311,0.0
170368,72601861,170387,169154,71988968,72298055,0.9226108193397522
170368,72601861,169154,170368,72298055,72601861,0.9048206210136414
170368,72601861,169154,169155,72298055,67429207,0.0
170429,71992858,171112,170428,70817033,71450904,0.9233417510986328
170429,71992858,170428,170429,71450904,71992858,0.9053426384925842
170429,71992858,170428,168013,71450904,72332073,0.0
171617,72629836,167246,170924,72288093,72294238,0.9222972393035889
171617,72629836,170924,171617,72294238,72629836,0.9024016261100769
171617,72629836,170924,167016,72294238,73279924,0.0
171931,71988421,169976,172305,70782417,71450697,0.9233266115188599
171931,71988421,172305,171931,71450697,71988421,0.9079092741012573
171931,71988421,168586,167102,71988438,73160850,0.0
171931,71988421,171931,167102,71988421,73160850,0.0
171931,71988421,168366,167102,71988771,73160850,0.0
171931,71988421,168928,167102,71989982,73160850,0.0
171931,71988421,172767,167102,71989683,73160850,0.0
171931,71988421,169364,167102,71990017,73160850,0.0
171931,71988421,167221,167102,73161180,73160850,0.0
171931,71988421,173752,167102,71988749,73160850,0.0
171931,71988421,168167,167102,71990615,73160850,0.0
171931,71988421,172218,167102,71994055,73160850,0.0
171931,71988421,169453,167102,71989375,73160850,0.0
171931,71988421,168438,167102,71989346,73160850,0.0
171931,71988421,167101,167102,71988444,73160850,0.0
171931,71988421,171381,167102,71989402,73160850,0.0
171931,71988421,171429,167102,71993480,73160850,0.0
171931,71988421,167938,167102,71987987,73160850,0.0
171931,71988421,170701,167102,71989154,73160850,0.0
171931,71988421,171068,167102,72004593,73160850,0.0
172275,72603109,171095,170575,72325322,71297856,0.9203921556472778
172275,72603109,170575,172275,71297856,72603109,0.9065679311752319
172275,72603109,170575,167199,71297856,72706473,0.0
172275,72603109,170575,172466,71297856,72631010,0.0
172275,72603109,170575,172979,71297856,72632574,0.0
172466,72631010,171095,170575,72325322,71297856,0.9210346937179565
172466,72631010,170575,172466,71297856,72631010,0.9060527682304382
172466,72631010,170575,167199,71297856,72706473,0.0
172466,72631010,170575,172275,71297856,72603109,0.0
172466,72631010,170575,172979,71297856,72632574,0.0
172923,71988925,172751,172923,70807890,71988925,0.9152312874794006
172923,71988925,172751,170327,70807890,71471809,0.0
172979,72632574,171095,170575,72325322,71297856,0.9214193224906921
172979,72632574,170575,172979,71297856,72632574,0.9056283235549927
172979,72632574,170575,167199,71297856,72706473,0.0
172979,72632574,170575,172466,71297856,72631010,0.0
172979,72632574,170575,172275,71297856,72603109,0.0
