explained_target_node_idx,explained_target_txId,node_idx,txId,node_importance
170368,72601861,169154,72298055,0.6059010028839111
170368,72601861,170387,71988968,0.15643545985221863
170368,72601861,169155,67429207,0.0
170429,71992858,170428,71450904,0.7652199864387512
170429,71992858,171112,70817033,0.15429925918579102
170429,71992858,168013,72332073,0.0
171617,72629836,170924,72294238,0.7502543926239014
171617,72629836,167246,72288093,0.13025619089603424
171617,72629836,167016,73279924,0.0
171931,71988421,172305,71450697,0.5337939262390137
171931,71988421,169976,70782417,0.14590492844581604
171931,71988421,168586,71988438,0.0
171931,71988421,167102,73160850,0.0
171931,71988421,168366,71988771,0.0
171931,71988421,168928,71989982,0.0
171931,71988421,172767,71989683,0.0
171931,71988421,169364,71990017,0.0
171931,71988421,167221,73161180,0.0
171931,71988421,173752,71988749,0.0
171931,71988421,168167,71990615,0.0
171931,71988421,172218,71994055,0.0
171931,71988421,169453,71989375,0.0
171931,71988421,168438,71989346,0.0
171931,71988421,167101,71988444,0.0
171931,71988421,171381,71989402,0.0
171931,71988421,171429,71993480,0.0
171931,71988421,167938,71987987,0.0
171931,71988421,170701,71989154,0.0
171931,71988421,171068,72004593,0.0
172275,72603109,170575,71297856,0.5608914494514465
172275,72603109,171095,72325322,0.15673811733722687
172275,72603109,167199,72706473,0.0
172275,72603109,172466,72631010,0.0
172275,72603109,172979,72632574,0.0
172466,72631010,170575,71297856,0.6410021185874939
172466,72631010,171095,72325322,0.13370463252067566
172466,72631010,167199,72706473,0.0
172466,72631010,172275,72603109,0.0
172466,72631010,172979,72632574,0.0
172923,71988925,172751,70807890,0.39308276772499084
172923,71988925,170327,71471809,0.0
172979,72632574,170575,71297856,0.6348546743392944
172979,72632574,171095,72325322,0.13497062027454376
172979,72632574,167199,72706473,0.0
172979,72632574,172466,72631010,0.0
172979,72632574,172275,72603109,0.0
